Avg5, Avg30, Avg100, Avg200
4634, 4704, 4571, 5139
4607, 4698, 4568, 5132
4579, 4691, 4565, 5124
4569, 4684, 4561, 5116
4557, 4680, 4558, 5108
4547, 4675, 4554, 5101
4535, 4669, 4553, 5092
4531, 4665, 4553, 5086
4517, 4654, 4551, 5078
4493, 4642, 4549, 5071
4468, 4631, 4546, 5063
4461, 4624, 4542, 5055
4469, 4622, 4540, 5047
4495, 4619, 4538, 5039
4540, 4616, 4536, 5031
4614, 4619, 4534, 5025
4680, 4623, 4534, 5018
4732, 4629, 4533, 5011
4810, 4641, 4534, 5006
4883, 4651, 4535, 5000
4938, 4660, 4536, 4994
4969, 4666, 4536, 4988
4988, 4672, 4537, 4982
4977, 4679, 4539, 4976
4963, 4684, 4540, 4971
4954, 4692, 4543, 4966
4983, 4706, 4547, 4960
5011, 4718, 4552, 4955
5009, 4729, 4556, 4948
5025, 4743, 4562, 4941
4980, 4750, 4564, 4933
4903, 4755, 4565, 4925
4818, 4758, 4565, 4916
4754, 4760, 4565, 4908
4677, 4763, 4566, 4899
4619, 4762, 4566, 4889
4577, 4762, 4565, 4880
4587, 4767, 4567, 4873
4587, 4772, 4569, 4866
4569, 4776, 4571, 4859
4584, 4781, 4573, 4852
4594, 4784, 4576, 4847
4576, 4785, 4580, 4841
4539, 4779, 4582, 4835
4520, 4773, 4585, 4828
4490, 4761, 4588, 4821
4485, 4752, 4592, 4815
4458, 4740, 4595, 4808
4446, 4718, 4599, 4801
4435, 4698, 4602, 4794
4425, 4675, 4607, 4787
4389, 4655, 4611, 4781
4345, 4632, 4614, 4775
4328, 4610, 4619, 4769
4319, 4591, 4624, 4763
4344, 4573, 4627, 4757
4341, 4548, 4629, 4750
4398, 4530, 4631, 4745
4441, 4516, 4632, 4739
4488, 4501, 4635, 4734
4508, 4495, 4638, 4729
4553, 4489, 4637, 4724
4540, 4484, 4636, 4719
4530, 4478, 4636, 4713
4512, 4474, 4635, 4708
4487, 4473, 4635, 4703
4436, 4466, 4633, 4697
4401, 4453, 4631, 4692
4366, 4442, 4629, 4686
4334, 4435, 4626, 4680
4337, 4432, 4626, 4674
4395, 4433, 4624, 4669
4444, 4431, 4622, 4664
4486, 4433, 4619, 4660
4520, 4435, 4618, 4655
4530, 4438, 4616, 4651
4505, 4436, 4614, 4646
4491, 4436, 4612, 4641
4515, 4444, 4610, 4639
4524, 4450, 4608, 4636
4553, 4460, 4607, 4634
4594, 4470, 4607, 4633
4614, 4481, 4607, 4631
4603, 4490, 4605, 4628
4562, 4490, 4601, 4625
4473, 4481, 4597, 4620
4366, 4475, 4591, 4614
4291, 4463, 4587, 4609
4204, 4450, 4581, 4603
4171, 4437, 4576, 4599
4166, 4424, 4570, 4593
4178, 4412, 4565, 4587
4188, 4405, 4560, 4581
4194, 4394, 4554, 4576
4201, 4385, 4548, 4571
4212, 4378, 4543, 4567
4239, 4379, 4539, 4563
4257, 4381, 4536, 4559
4289, 4382, 4533, 4555
4296, 4379, 4529, 4551
4295, 4371, 4526, 4549
4277, 4360, 4523, 4546
4257, 4350, 4520, 4542
4241, 4341, 4516, 4539
4257, 4335, 4514, 4536
4298, 4333, 4514, 4534
4339, 4332, 4513, 4533
4388, 4333, 4513, 4533
4431, 4327, 4512, 4532
4465, 4325, 4513, 4531
4509, 4325, 4516, 4531
4554, 4325, 4518, 4530
4602, 4331, 4519, 4530
4658, 4336, 4520, 4529
4716, 4351, 4522, 4529
4747, 4371, 4522, 4528
4774, 4393, 4522, 4528
4805, 4416, 4523, 4528
4837, 4442, 4522, 4528
4858, 4465, 4521, 4528
4901, 4494, 4520, 4528
4945, 4521, 4521, 4529
4982, 4549, 4523, 4530
5008, 4577, 4523, 4531
5013, 4601, 4523, 4532
4986, 4623, 4522, 4532
4971, 4643, 4521, 4534
4935, 4662, 4519, 4535
4903, 4679, 4518, 4537
4895, 4700, 4516, 4539
4921, 4727, 4519, 4542
4961, 4757, 4524, 4544
5009, 4787, 4528, 4547
5075, 4818, 4534, 4549
5172, 4853, 4541, 4554
5241, 4884, 4550, 4558
5288, 4915, 4559, 4562
5313, 4941, 4565, 4566
5328, 4968, 4571, 4570
5336, 4998, 4580, 4575
5326, 5020, 4587, 4580
5336, 5046, 4596, 4586
5337, 5063, 4603, 4591
5335, 5081, 4611, 4597
5300, 5095, 4619, 4602
5293, 5111, 4627, 4608
5269, 5128, 4635, 4614
5301, 5146, 4645, 4620
5327, 5163, 4655, 4627
5374, 5182, 4666, 4634
5387, 5192, 4676, 4641
5387, 5202, 4685, 4648
5370, 5211, 4696, 4655
5371, 5223, 4707, 4663
5350, 5238, 4717, 4671
5333, 5250, 4725, 4676
5320, 5260, 4734, 4681
5310, 5273, 4742, 4686
5273, 5285, 4749, 4690
5249, 5297, 4755, 4695
5249, 5305, 4762, 4700
5294, 5316, 4771, 4704
5331, 5327, 4781, 4709
