[2022/01/04 10:00:44]========== Start ==========
[2022/01/04 10:00:44][I][main] Python 3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
[2022/01/04 10:00:44][I][main] Automation_RSSI_WiFiSARQUERY.py 1.0.0.4
[2022/01/04 10:00:44][I][main] Decteing User: WillyWJ_Chen

[2022/01/04 10:00:44][I][setPath] ----- Setting Folder Path -----
[2022/01/04 10:00:45][E][setPath] Unexpected Error: 'Automation_RSSI_WiFiSARQUERY' object has no attribute 'mappingJsonPath'
[2022/01/04 10:00:45][I][start] ------ Begin Generating Sequence -----
[2022/01/04 10:00:46][E][main] Unexpected Error: 'Automation_RSSI_WiFiSARQUERY' object has no attribute 'inputFolder'
[2022/01/04 10:00:46]========== End ==========
[2022/01/04 10:04:45]========== Start ==========
[2022/01/04 10:04:45][I][main] Python 3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
[2022/01/04 10:04:45][I][main] Automation_RSSI_WiFiSARQUERY.py 1.0.0.4
[2022/01/04 10:04:45][I][main] Decteing User: WillyWJ_Chen

[2022/01/04 10:04:45][I][setPath] ----- Setting Folder Path -----
[2022/01/04 10:04:46][I][initPath] Delete Folder: ./input/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Create Folder: ./input/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Delete Folder: ./output/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Create Folder: ./output/WillyWJ_Chen
[2022/01/04 10:04:48][I][pullData] ----- Pulling Data ------
[2022/01/04 10:05:42][I][pullData] ----- Pulling Data Successfully -----
[2022/01/04 10:05:42][I][setPath] ----- Setting Folder Path Successfully -----
[2022/01/04 10:05:42][I][start] ------ Begin Generating Sequence -----
[2022/01/04 10:06:07][W][ParseLog] Cannot find MTKlog_7249142000006.LOG by SN: 7249142000006
[2022/01/04 10:06:08][W][ParseLog] Cannot find MTKlog_7249142000007.LOG by SN: 7249142000007
[2022/01/04 10:06:08][W][ParseLog] Cannot find MTKlog_7249142000010.LOG by SN: 7249142000010
[2022/01/04 10:06:09][W][ParseLog] Cannot find MTKlog_7249142000011.LOG by SN: 7249142000011
[2022/01/04 10:06:09][W][ParseLog] Cannot find MTKlog_7249142000013.LOG by SN: 7249142000013
[2022/01/04 10:06:09][W][ParseLog] Cannot find MTKlog_7249142000014.LOG by SN: 7249142000014
[2022/01/04 10:06:10][W][ParseLog] Cannot find MTKlog_7249142000017.LOG by SN: 7249142000017
[2022/01/04 10:06:10][W][ParseLog] Cannot find MTKlog_7249142000020.LOG by SN: 7249142000020
[2022/01/04 10:06:11][W][ParseLog] Cannot find MTKlog_7249142000025.LOG by SN: 7249142000025
[2022/01/04 10:06:11][W][ParseLog] Cannot find MTKlog_7249142000026.LOG by SN: 7249142000026
[2022/01/04 10:06:11][W][ParseLog] Cannot find MTKlog_7249142000028.LOG by SN: 7249142000028
[2022/01/04 10:06:12][W][ParseLog] Cannot find MTKlog_7249142000029.LOG by SN: 7249142000029
[2022/01/04 10:06:12][W][ParseLog] Cannot find MTKlog_7249142000031.LOG by SN: 7249142000031
[2022/01/04 10:06:13][W][ParseLog] Cannot find MTKlog_7249142000032.LOG by SN: 7249142000032
[2022/01/04 10:06:13][W][ParseLog] Cannot find MTKlog_7249142000034.LOG by SN: 7249142000034
[2022/01/04 10:06:14][W][ParseLog] Cannot find MTKlog_7249142000035.LOG by SN: 7249142000035
[2022/01/04 10:06:14][W][ParseLog] Cannot find MTKlog_7249142000036.LOG by SN: 7249142000036
[2022/01/04 10:06:14][W][ParseLog] Cannot find MTKlog_7249142000037.LOG by SN: 7249142000037
[2022/01/04 10:06:15][W][ParseLog] Cannot find MTKlog_7249142000038.LOG by SN: 7249142000038
[2022/01/04 10:06:15][W][ParseLog] Cannot find MTKlog_7249142000039.LOG by SN: 7249142000039
[2022/01/04 10:06:16][W][ParseLog] Cannot find MTKlog_7249142000040.LOG by SN: 7249142000040
[2022/01/04 10:06:16][W][ParseLog] Cannot find MTKlog_7249142000041.LOG by SN: 7249142000041
[2022/01/04 10:06:16][W][ParseLog] Cannot find MTKlog_7249142000042.LOG by SN: 7249142000042
[2022/01/04 10:06:17][W][ParseLog] Cannot find MTKlog_7249142000043.LOG by SN: 7249142000043
[2022/01/04 10:06:17][W][ParseLog] Cannot find MTKlog_7249142000045.LOG by SN: 7249142000045
[2022/01/04 10:06:18][W][ParseLog] Cannot find MTKlog_7249142000046.LOG by SN: 7249142000046
[2022/01/04 10:06:18][W][ParseLog] Cannot find MTKlog_7249142000047.LOG by SN: 7249142000047
[2022/01/04 10:06:18][W][ParseLog] Cannot find MTKlog_7249142000049.LOG by SN: 7249142000049
[2022/01/04 10:06:19][W][ParseLog] Cannot find MTKlog_7249142000051.LOG by SN: 7249142000051
[2022/01/04 10:06:19][W][ParseLog] Cannot find MTKlog_7249142000052.LOG by SN: 7249142000052
[2022/01/04 10:06:20][W][ParseLog] Cannot find MTKlog_7249142000053.LOG by SN: 7249142000053
[2022/01/04 10:06:20][W][ParseLog] Cannot find MTKlog_7249142000054.LOG by SN: 7249142000054
[2022/01/04 10:06:21][W][ParseLog] Cannot find MTKlog_7249142000055.LOG by SN: 7249142000055
[2022/01/04 10:06:21][W][ParseLog] Cannot find MTKlog_7249142000056.LOG by SN: 7249142000056
[2022/01/04 10:06:21][W][ParseLog] Cannot find MTKlog_7249142000057.LOG by SN: 7249142000057
[2022/01/04 10:06:22][W][ParseLog] Cannot find MTKlog_7249142000058.LOG by SN: 7249142000058
[2022/01/04 10:06:22][W][ParseLog] Cannot find MTKlog_7249142000059.LOG by SN: 7249142000059
[2022/01/04 10:06:23][W][ParseLog] Cannot find MTKlog_7249142000060.LOG by SN: 7249142000060
[2022/01/04 10:06:23][W][ParseLog] Cannot find MTKlog_7249142000061.LOG by SN: 7249142000061
[2022/01/04 10:06:23][W][ParseLog] Cannot find MTKlog_7249142000062.LOG by SN: 7249142000062
[2022/01/04 10:06:24][W][ParseLog] Cannot find MTKlog_7249142000063.LOG by SN: 7249142000063
[2022/01/04 10:06:24][W][ParseLog] Cannot find MTKlog_7249142000064.LOG by SN: 7249142000064
[2022/01/04 10:06:25][W][ParseLog] Cannot find MTKlog_7249146100001.LOG by SN: 7249146100001
[2022/01/04 10:06:25][W][ParseLog] Cannot find MTKlog_7249146100002.LOG by SN: 7249146100002
[2022/01/04 10:06:25][W][ParseLog] Cannot find MTKlog_7249146100003.LOG by SN: 7249146100003
[2022/01/04 10:06:26][W][ParseLog] Cannot find MTKlog_7249146100005.LOG by SN: 7249146100005
[2022/01/04 10:06:26][W][ParseLog] Cannot find MTKlog_7249146100008.LOG by SN: 7249146100008
[2022/01/04 10:06:27][W][ParseLog] Cannot find MTKlog_7249146100009.LOG by SN: 7249146100009
[2022/01/04 10:06:27][W][ParseLog] Cannot find MTKlog_7249146100010.LOG by SN: 7249146100010
[2022/01/04 10:06:27][W][ParseLog] Cannot find MTKlog_7249146100011.LOG by SN: 7249146100011
[2022/01/04 10:06:28][W][ParseLog] Cannot find MTKlog_7249146200005.LOG by SN: 7249146200005
[2022/01/04 10:06:28][W][ParseLog] Cannot find SAR.TXT and SarLog_DynAnt.txt by SN: 7249146200005
[2022/01/04 10:06:29][W][ParseLog] Cannot find MTKlog_7249146200006.LOG by SN: 7249146200006
[2022/01/04 10:06:29][W][ParseLog] Cannot find MTKlog_7249146200007.LOG by SN: 7249146200007
[2022/01/04 10:06:29][W][ParseLog] Cannot find MTKlog_7249146200009.LOG by SN: 7249146200009
[2022/01/04 10:06:30][W][ParseLog] Cannot find MTKlog_7249146200011.LOG by SN: 7249146200011
[2022/01/04 10:06:30][W][ParseLog] Cannot find MTKlog_7249146200012.LOG by SN: 7249146200012
[2022/01/04 10:06:31][W][ParseLog] Cannot find MTKlog_7249146200015.LOG by SN: 7249146200015
[2022/01/04 10:06:31][W][ParseLog] Cannot find ITPM_RSSITest_A32.LOG by SN: 7249146200017
[2022/01/04 10:06:32][W][ParseLog] Cannot find MTKlog_7249146200017.LOG by SN: 7249146200017
[2022/01/04 10:06:32][W][ParseLog] Cannot find MTKlog_7249146200019.LOG by SN: 7249146200019
[2022/01/04 10:06:32][W][ParseLog] Cannot find MTKlog_7249146200022.LOG by SN: 7249146200022
[2022/01/04 10:06:33][W][ParseLog] Cannot find MTKlog_7249146200023.LOG by SN: 7249146200023
[2022/01/04 10:06:33][W][ParseLog] Cannot find MTKlog_7249146200024.LOG by SN: 7249146200024
[2022/01/04 10:06:34][W][ParseLog] Cannot find MTKlog_7249146200026.LOG by SN: 7249146200026
[2022/01/04 10:06:34][W][ParseLog] Cannot find MTKlog_7249146200028.LOG by SN: 7249146200028
[2022/01/04 10:06:34][W][ParseLog] Cannot find MTKlog_7249146200029.LOG by SN: 7249146200029
[2022/01/04 10:06:35][W][ParseLog] Cannot find MTKlog_7249146200030.LOG by SN: 7249146200030
[2022/01/04 10:06:35][W][ParseLog] Cannot find MTKlog_7249146200031.LOG by SN: 7249146200031
[2022/01/04 10:06:36][W][ParseLog] Cannot find MTKlog_7249146200033.LOG by SN: 7249146200033
[2022/01/04 10:06:36][W][ParseLog] Cannot find MTKlog_7249146200034.LOG by SN: 7249146200034
[2022/01/04 10:06:36][W][ParseLog] Cannot find MTKlog_7249146200035.LOG by SN: 7249146200035
[2022/01/04 10:06:37][W][ParseLog] Cannot find MTKlog_7249146200037.LOG by SN: 7249146200037
[2022/01/04 10:06:37][W][ParseLog] Cannot find MTKlog_7249146200038.LOG by SN: 7249146200038
[2022/01/04 10:06:38][W][ParseLog] Cannot find MTKlog_7249146200039.LOG by SN: 7249146200039
[2022/01/04 10:06:38][W][ParseLog] Cannot find MTKlog_7249146200040.LOG by SN: 7249146200040
[2022/01/04 10:06:38][W][ParseLog] Cannot find MTKlog_7249146200041.LOG by SN: 7249146200041
[2022/01/04 10:06:39][W][ParseLog] Cannot find MTKlog_7249146200042.LOG by SN: 7249146200042
[2022/01/04 10:06:39][W][ParseLog] Cannot find MTKlog_7249146200043.LOG by SN: 7249146200043
